@relation BinaryFileDataset

@attribute a_1 numeric
@attribute a_2 numeric
@attribute a_3 numeric
@attribute a_4 numeric
@attribute a_5 numeric
@attribute a_6 numeric
@attribute a_7 numeric
@attribute a_8 numeric
@attribute a_9 numeric
@attribute a_10 numeric
@attribute a_11 numeric
@attribute a_12 numeric
@attribute a_13 numeric
@attribute a_14 numeric
@attribute a_15 numeric
@attribute klasa {jpg,png,exe,pdf,dll,zip}

@data
4000,7.871903,1.00275,0.00375,0.33975,0.017,0,136.596,130.05,137.308,133.508,136.9,135.38,136.42,135.318,jpg
4000,7.884459,1.00275,0.0055,0.34175,0.016,0,129.628,136.166,133.146,138.452,131.692,130.678,131.512,132.238,jpg
4000,7.88155,1.00275,0.00375,0.3395,0.01425,0,133.542,135.038,134.91,129.4,129.408,128.828,133.75,138,jpg
4000,7.871728,1.00275,0.00275,0.34275,0.01625,0,130.282,133.776,133.134,136.944,135.772,136.466,132.82,131.074,jpg
4000,7.89568,1.00275,0.0025,0.33775,0.0135,0,128.326,132.998,136.828,132.064,140.468,132.868,133.538,137.038,jpg
4000,7.848269,1.00275,0.0025,0.3335,0.0145,0,131.682,136.458,138.846,138.342,143.656,136.678,139.972,142.648,jpg
4000,7.879382,1.00275,0.00475,0.3585,0.0165,0,133.568,132.452,135.71,129.148,128.472,132.226,135.12,134.17,jpg
4000,7.876351,1.00275,0.00475,0.33875,0.02,0,129.686,133.01,133.278,133.862,135.98,127.262,128.512,130.712,jpg
4000,7.815676,1.00125,0.0045,0.33325,0.018,0,136.188,129.74,130.59,134.746,134.182,134.614,134.932,133.426,jpg
4000,7.860508,1.00275,0.003,0.33525,0.01725,0,140.174,132.942,136.818,135.282,130.866,139.81,138.466,133.694,jpg
4000,7.895972,1.00275,0.00275,0.3365,0.014,0,128.614,137.894,135.514,135.622,130.532,132.622,131.28,136.252,jpg
4000,7.876816,1.00275,0.00475,0.341,0.01375,0,133.34,140.46,133.986,137.58,131.624,137.136,129.998,138.994,jpg
4000,7.896785,1.00275,0.00325,0.354,0.013,0,134.7,135.272,131.316,132.424,132.16,135.358,137.986,133.006,jpg
4000,7.864144,1.00275,0.00275,0.3455,0.0155,0,132.536,131.982,136.426,137.782,136.472,133.436,131.586,133.94,jpg
4000,7.840109,1.00275,0.00275,0.333,0.01575,0,133.078,135.656,131.63,135.488,135.626,137.13,138.624,140.368,jpg
4000,7.867378,1.00275,0.0025,0.347,0.017,0,139.058,137.204,126.884,135.724,131.914,131.802,130.356,131.718,jpg
4000,7.885464,1.00275,0.0025,0.34925,0.018,0,140.266,129.224,129.06,137.848,131.218,133.978,127.686,132.444,jpg
4000,7.865491,1.00275,0.002,0.32575,0.0165,0,129.866,132.966,138.49,136.086,137.296,127.03,142.08,135.342,jpg
4000,7.880062,1.00275,0.00375,0.35,0.01525,0,130.604,137.596,132.636,133.806,131.68,131.56,129.956,133.322,jpg
4000,7.900084,1.00275,0.00475,0.3525,0.0105,0,133.87,135.362,132.614,130.194,133.664,131.348,132.09,137.552,jpg
4000,7.887225,1.00275,0.003,0.34125,0.01375,0,137.594,130.904,135.098,130.248,136.296,137.594,141.86,129.076,jpg
4000,7.900717,1.00275,0.005,0.3475,0.01425,0,130.75,129.758,137.532,131.634,130.43,130.726,131.406,130.44,jpg
4000,7.90887,1.00275,0.002,0.327,0.0145,0,133.494,134.428,132.374,131.12,131.416,133.66,133.2,136.322,jpg
4000,7.934059,1.00275,0.0025,0.348,0.002,0,129.53,127.746,129.514,128.04,129.198,131.814,134.842,135.54,png
4000,7.894989,0.9745,0.00575,0.36725,0.0065,0,134.44,122.952,121.824,121.044,131.58,123.748,129.496,120.298,png
4000,7.861746,0.951,0.0015,0.339,0.01125,0,127.652,136.93,128.966,123.63,127.8,128.808,128.636,125.818,png
4000,7.544027,0.818,0.02925,0.34675,0.04075,0,101.04,110.752,115.412,105.24,102.072,103.704,104.83,109.884,png
4000,7.828458,0.91925,0.00775,0.35575,0.01825,0,119.666,109.704,116.306,117.426,122.976,132.878,141.226,126.49,png
4000,7.788359,0.89575,0.01425,0.335,0.01375,0,123.432,130.184,124.614,127.834,115.56,128.52,116.472,134.088,png
4000,7.389486,0.8065,0.0245,0.3185,0.0685,0,130.758,127.21,136.936,133.83,71.318,58.742,88.648,92.56,png
4000,7.932133,1.00275,0.00425,0.372,0.00775,0,133.3,124.608,125.246,126.704,125.258,122.566,125.668,122.666,png
4000,7.920865,1.00275,0.0025,0.3445,0.00225,0,129.482,128.48,130.882,134.7,135.428,137.752,135.696,138.086,png
4000,7.523081,0.8515,0.02725,0.349,0.062,0,127.944,121.274,128.084,105.968,63.384,76.526,116.418,115.362,png
4000,7.933072,1.00275,0.00425,0.35075,0.00225,0,134.124,128.146,125.64,131.34,129.628,135.178,129.32,126.196,png
4000,7.425713,0.821,0.02075,0.31925,0.0535,0,138.648,132.608,86.234,60.068,97.796,113.672,119.674,116.04,png
4000,7.946787,1.00275,0.00325,0.37375,0.004,0,128.282,126.396,128.538,129.84,127.58,124.968,127.494,125.754,png
4000,7.894866,0.984,0.007,0.3815,0.00125,0,128.116,125.316,128.466,115.272,128.572,123.104,132.922,118.436,png
4000,5.566732,0.3945,0.07375,0.27425,0.0765,0,111.896,95.59,52.648,43.13,52.074,43.046,47.108,49.4,png
4000,7.175808,0.685,0.0375,0.30675,0.03475,0,42.7,42.654,92.398,115.042,129.386,136.26,126.746,121.71,png
4000,7.944148,0.99,0.0045,0.371,0.002,0,125.18,126.988,129.754,124.64,127.684,123.724,126.234,126.426,png
4000,7.882047,1.00275,0.0045,0.36175,0.002,0,136.056,131.098,139.436,130.974,141.87,140.964,134.556,133.138,png
4000,7.90529,0.98475,0.0035,0.36075,0.0125,0,123.696,131.662,127.94,139.698,127.904,127.134,124.71,133.484,png
4000,7.908909,0.96925,0.00875,0.37275,0.004,0,128.992,121.362,128.168,121.492,128.272,127.458,124.95,126.466,png
4000,7.922605,1.00275,0.0025,0.3655,0.00425,0,137.338,131.882,130.414,127.204,131.208,125.612,127.45,129.712,png
4000,7.875693,1.00275,0.003,0.33475,0.00225,0,129.516,138.114,136.096,146.688,147.186,142.794,130.64,136.476,png
4000,7.923473,0.9875,0.0055,0.35075,0.0045,0,123.174,129.428,130.726,129.738,132.788,124.18,127.726,133.324,png
4000,6.201447,0.4735,0.06125,0.296,0.06075,0,45.692,43.79,44.696,70.094,71.614,121.982,115.268,98.946,png
4000,7.903476,1.00275,0.0035,0.3545,0.01975,0,125.622,122.812,130.312,120.234,127.176,124.63,128.934,127.616,png
4000,5.737604,0.38325,0.07075,0.27875,0.06775,0,105.492,53.612,41.236,45.08,61.196,45.872,52.482,111.67,png
4000,7.517653,0.849,0.01975,0.33875,0.046,0,90.804,117.726,117.314,106.772,102.862,114.194,114.048,113.092,png
4000,7.636299,0.81975,0.00175,0.37225,0.01375,0,120.358,113.17,89.22,74.366,108.19,125.17,130.278,126.866,png
4000,7.922393,0.99375,0.003,0.343,0.00875,0,135.852,127.788,128.066,129.914,125.28,130.362,139.628,129.596,png
4000,7.885395,0.9775,0.01,0.361,0,0,132.232,131.36,137.09,131.052,122.29,134.136,131.92,129.74,png
4000,7.875623,0.96175,0.0145,0.354,0.00175,0,82.342,134.434,128.482,133.842,130.534,127.658,132.148,134.78,png
4000,7.894308,0.99375,0.00675,0.35025,0.01475,0,117.786,136.442,132.022,127.33,124.048,133.818,131.562,126.974,png
4000,7.922584,1.00275,0.00325,0.36975,0.008,0,133.97,132.946,128.616,126.206,129.446,121.852,126.168,122.318,png
4000,7.640233,0.86025,0.0145,0.3405,0.004,0,119.526,106.916,120.692,87.976,73.678,120.12,138.322,135.684,png
4000,7.816491,0.9315,0.006,0.3475,0.01375,0,121.23,120.568,122.718,131.148,142.036,132.442,127.626,122.884,png
4000,7.916347,0.98775,0.0085,0.37825,0.00075,0,128.152,131.698,134.63,131.458,129.32,129.33,133.836,120.672,png
4000,6.59859,0.6145,0.04975,0.28475,0.045,0,96.58,90.742,73.484,66.644,68.064,69.248,100.29,114.71,png
4000,7.874817,0.9595,0.01025,0.3675,0.024,0,120.002,118.544,135.906,124.246,117.938,132.432,125.988,115.456,png
4000,6.890356,0.7015,0.0425,0.304,0.04275,0,120.852,124.532,95.104,72.744,63.734,86.18,84.084,88.264,png
4000,7.896813,1.00275,0.00325,0.3505,0.00175,0,132.83,133.05,131.424,137.094,131.788,131.152,132.04,135.038,png
4000,7.919183,1.001,0.00425,0.3735,0.00775,0,122.084,130.64,123.886,127.658,129.422,124.354,129.642,116.546,png
4000,7.933458,1.00275,0.00525,0.372,0.00075,0,129.212,130.56,139.032,137.466,132.7,126.118,124.788,130.348,png
4000,7.735701,0.8945,0.00675,0.34575,0.0295,0,137.87,128.122,125.082,125.962,118.054,106.552,99.486,87.846,png
4000,7.822483,0.9635,0.0105,0.32025,0.01525,0,141.262,134.896,128.586,128.828,134.672,130.152,126.284,125.216,png
4000,7.904631,0.99425,0.00275,0.3555,0.00525,0,133.458,125.962,127.01,125.314,126.262,142.018,139.584,138.338,png
4000,7.930098,1.00275,0.002,0.3665,0.00275,0,129.142,130.036,127.134,124.224,128.812,124.652,129.094,129.018,png
