@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,47.052632,0.847082,1.317647,6.414288,0.801786,k1
0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,0.001828,48.736842,0.849134,1.27013,6.418351,0.802294,k1
0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,46.142857,0.852227,1.267244,6.417967,0.802246,k1
0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,0.001724,38.666667,0.849076,1.275902,6.409143,0.801143,k1
0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,0.001748,43.857143,0.84879,1.376471,6.407875,0.800984,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,44.363636,0.850101,1.317647,6.405518,0.80069,k1
0.005747,0.005747,0.005747,0.005747,0.005747,0.005747,0.005747,0.005747,0.005747,0.005747,26.125,0.941781,1.276364,6.224488,0.778061,k1
0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,61.066667,0.852818,1.267262,6.412555,0.801569,k1
0.00346,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,53.705882,0.849287,1.269605,6.415192,0.801899,k1
0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,0.001815,36.92,0.849231,1.274747,6.390009,0.798751,k1
0.003503,0.003503,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,45.7,0.848884,1.26791,6.405024,0.800628,k1
0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,0.002114,45.470588,0.858696,1.273016,6.402309,0.800289,k1
0.003361,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,0.001681,44.75,0.848516,1.272846,6.405524,0.800691,k1
0.003552,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,46.722222,0.849076,1.275902,6.40931,0.801164,k1
0.003442,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,0.001721,52.888889,0.849896,1.29899,6.412233,0.801529,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,48.777778,0.845838,1.277234,6.39788,0.799735,k1
0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,43.047619,0.85162,1.267593,6.406526,0.800816,k1
0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,42.789474,0.848765,1.278788,6.400659,0.800082,k1
0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,0.001742,50.176471,0.849899,1.26791,6.433369,0.804171,k1
0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,0.001859,56.588235,0.849174,1.288889,6.411568,0.801446,k1
0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,0.00173,40.05,0.846856,1.26791,6.407232,0.800904,k1
0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,44.190476,0.850361,1.285522,6.402256,0.800282,k1
0.009756,0.004878,0.004878,0.004878,0.004878,0.004878,0.004878,0.004878,0.004878,0.004878,27.6,0.909091,1.451282,6.22882,0.778602,k1
0.003503,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,48,0.851586,1.272846,6.422852,0.802857,k1
0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,0.001821,45.05,0.848297,1.285522,6.39637,0.799546,k1
0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,0.001812,46.055556,0.84814,1.288889,6.41012,0.801265,k1
0.00365,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,0.001825,48,0.849794,1.278788,6.414377,0.801797,k1
0.003311,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,0.001656,49.764706,0.852113,1.317647,6.420101,0.802513,k1
0.00361,0.001805,0.001805,0.001805,0.001805,0.001805,0.001805,0.001805,0.001805,0.001805,51.263158,0.851515,1.266667,6.419757,0.80247,k1
0.003584,0.003584,0.003584,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,46.058824,0.85102,1.270707,6.413507,0.801688,k1
0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,0.001876,40.5,0.852097,1.301075,6.404532,0.800566,k1
0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,0.001751,54.9375,0.847492,1.272846,6.398358,0.799795,k1
0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,0.001786,49.444444,0.849896,1.29899,6.408375,0.801047,k1
0.003584,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,0.001792,54,0.847782,1.376471,6.416506,0.802063,k1
