@relation EnigmaDataset

@attribute ngram_1 numeric
@attribute ngram_2 numeric
@attribute ngram_3 numeric
@attribute ngram_4 numeric
@attribute ngram_5 numeric
@attribute ngram_6 numeric
@attribute ngram_7 numeric
@attribute ngram_8 numeric
@attribute ngram_9 numeric
@attribute ngram_10 numeric
@attribute prosecna_udaljenost numeric
@attribute stepen_kompresije numeric
@attribute kolmogorovska_slozenost numeric
@attribute senonova_entropija numeric
@attribute entropija_divergencije numeric
@attribute klasa {k1,k2}

@data
0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,0.002227,32.473684,0.859211,1.285897,6.367255,0.795907,k2
0.003356,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,0.001678,52.055556,0.849505,1.270588,6.411123,0.80139,k1
0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,0.001631,49.15,0.844554,1.270588,6.375014,0.796877,k2
0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,0.001745,52.315789,0.847656,1.31619,6.425123,0.80314,k1
0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,48.315789,0.84668,1.31619,6.410927,0.801366,k2
0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,41.857143,0.907357,1.334066,6.307944,0.788493,k1
0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,0.004651,33.777778,0.910082,1.334066,6.291671,0.786459,k2
0.003578,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,0.001789,42.75,0.848425,1.267873,6.41433,0.801791,k1
0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,0.001698,52.894737,0.846457,1.267873,6.404163,0.80052,k2
0.001634,0.001634,0.001634,0.001634,0.001634,0.001634,0.001634,0.001634,0.001634,0.001634,45.894737,0.84638,1.373333,6.411405,0.801426,k1
0.003252,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,0.001626,42.652174,0.84638,1.373333,6.402259,0.800282,k2
0.003367,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,0.001684,46.428571,0.85,1.266667,6.413953,0.801744,k1
0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,0.001675,43.210526,0.848039,1.266667,6.417826,0.802228,k2
0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,0.001686,50.2,0.85,1.266667,6.410039,0.801255,k1
0.003509,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,0.001754,57.470588,0.847059,1.266667,6.411769,0.801471,k2
0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,0.001736,44.894737,0.847656,1.31619,6.416414,0.802052,k1
0.003401,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,0.001701,40.954545,0.847656,1.31619,6.414675,0.801834,k2
0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,0.001621,46.05,0.85044,1.335238,6.415312,0.801914,k1
0.001658,0.001658,0.001658,0.001658,0.001658,0.001658,0.001658,0.001658,0.001658,0.001658,46.85,0.849462,1.335238,6.41707,0.802134,k2
0.002342,0.002342,0.002342,0.002342,0.002342,0.002342,0.002342,0.002342,0.002342,0.002342,34.933333,0.860304,1.362667,6.38827,0.798534,k1
